	author	author_type	url	location	deal_type	accommodation_type	floor	floors_count	rooms_count	total_meters	price	district	street	house_number	underground	residential_complex
0	VESPER	developer	https://www.cian.ru/sale/flat/262519758/	Москва	sale	flat	5	21	2	110.6	103787040	Пресненский	 Костикова	4к1	Улица 1905 года	Lucky
1	SHOW ME	real_estate_agent	https://www.cian.ru/sale/flat/302081797/	Москва	sale	flat	2	10	2	69.4	85000000	Тверской	 Палиха	4	Менделеевская	Клубный дом Maison Rouge
2	MR Group	developer	https://www.cian.ru/sale/flat/294196808/	Москва	sale	flat	33	41	2	75.2	38352000	Филевский парк	Багратионовский проезд	5Ак1	Фили	Filicity
3	ID 85604823	unknown	https://www.cian.ru/sale/flat/299429352/	Москва	sale	flat	38	51	2	63.0	36000000	Пресненский	Шмитовский проезд	39к8	Шелепиха	Headliner
4	Галс-Девелопмент	developer	https://www.cian.ru/sale/flat/303040420/	Москва	sale	flat	4	6	2	74.91	124200780	Замоскворечье	Космодамианская набережная	4/22С8	Новокузнецкая	Клубный дом Космо 4/22
5	SHOW ME	real_estate_agent	https://www.cian.ru/sale/flat/276019027/	Москва	sale	flat	6	6	2	130.0	58000000	Беговой	 3-я Ямского Поля	9	Белорусская	Art Residence
6	Главстрой	developer	https://www.cian.ru/sale/flat/296921240/	Москва	sale	flat	3	26	2	65.8	27526142	Филевский парк	Береговой проезд	2	Народное Ополчение	Береговой-2
7	САДОВЫЕ КВАРТАЛЫ	real_estate_agent	https://www.cian.ru/sale/flat/303087931/	Москва	sale	flat	7	15	2	120.0	149500000	Хамовники	 Усачева	15	Спортивная	Садовые кварталы
8	Среда	developer	https://www.cian.ru/sale/flat/303859205/	Москва	sale	flat	6	27	2	53.6	20630640	Очаково-Матвеевское	Очаково мкр		Аминьевская	Среда на Лобачевского
9	NF Group - ex-Knight Frank	real_estate_agent	https://www.cian.ru/sale/flat/298050405/	Москва	sale	flat	7	9	2	108.3	169000000	Тверской	1-я Тверская-Ямская 	2	Маяковская	Vesper Tverskaya
10	VESPER	developer	https://www.cian.ru/sale/flat/286258299/	Москва	sale	flat	5	9	2	104.2	143796000	Тверской	1-я Тверская-Ямская 	2	Маяковская	Vesper Tverskaya
11	GRAND ESTATE - Премиальная недвижимость	real_estate_agent	https://www.cian.ru/sale/flat/302837942/	Москва	sale	flat	8	18	2	84.0	62750000	Тверской	 Александра Невского	27	Белорусская	
12	Галс-Девелопмент	developer	https://www.cian.ru/sale/flat/303040534/	Москва	sale	flat	3	8	2	75.2	50308800	Замоскворечье	Шлюзовая набережная	2/1С1	Павелецкая	Элитный жилой комплекс 
13	NIKA ESTATE	real_estate_agent	https://www.cian.ru/sale/flat/303589233/	Москва	sale	flat	8	18	2	84.0	62750000	Тверской	 Александра Невского	27	Белорусская	
14	Галс-Девелопмент	developer	https://www.cian.ru/sale/flat/302186750/	Москва	sale	flat	19	27	2	73.0	33653000	Басманный	 Фридриха Энгельса	56	Бауманская	Премиум-квартал 
15	ID 111240424	homeowner	https://www.cian.ru/sale/flat/300143306/	Москва	sale	flat	38	52	2	63.0	36000000	Пресненский	Шмитовский проезд	39к1	Шелепиха	Headliner
16	PIONEER	developer	https://www.cian.ru/sale/flat/301513284/	Москва	sale	flat	4	22	2	47.2	24921930	Марьина роща	Полковая 	1С12	Савёловская	PRIDE
17	Kalinka Group	real_estate_agent	https://www.cian.ru/sale/flat/301493797/	Москва	sale	flat	9	32	2	63.0	50700000	Дорогомилово	Поклонная 	9	Поклонная	Поклонная 9
18	Рублево-Архангельское	developer	https://www.cian.ru/sale/flat/298516517/	Москва	sale	flat	2	11	2	47.0	24769000			В14 кв-л	Павшино	Сберсити ЖК
19	ID 86900871	realtor	https://www.cian.ru/sale/flat/297947020/	Москва	sale	flat	2	3	2	46.3	56000000	Басманный	 Маросейка	11/4С1	Китай-город	
20	MR Group	developer	https://www.cian.ru/sale/flat/299093508/	Москва	sale	flat	11	41	2	58.5	33468738	Даниловский	Дубининская 	59к7	Серпуховская	Павелецкая Сити
21	ID 112591621	homeowner	https://www.cian.ru/sale/flat/301839935/	Москва	sale	flat	13	45	2	51.0	31500000	Дорогомилово	Кутузовский проезд	16А/1	Деловой центр	River Park Кутузовский
22	Главстрой	developer	https://www.cian.ru/sale/flat/301772281/	Москва	sale	flat	2	8	2	48.83	24219680	Котловка	31/2	31/2	Профсоюзная	Новые Академики ЖК
23	BARNES International Realty	real_estate_agent	https://www.cian.ru/sale/flat/302383452/	Москва	sale	flat	63	65	2	86.0	96000000	Пресненский	1-й Красногвардейский проезд	22с1	Москва-Сити	NEVA TOWERS
24	ANT Development	developer	https://www.cian.ru/sale/flat/303519421/	Москва	sale	flat	2	10	2	59.8	66618396	Дорогомилово		3к8	Поклонная	Виктори Парк Резиденсез ЖК
25	Life Style	real_estate_agent	https://www.cian.ru/sale/flat/294212104/	Москва	sale	flat	34	78	2	76.1	62000000	Пресненский	1-й Красногвардейский проезд	22с2	Москва-Сити	NEVA TOWERS
26	Абсолют Недвижимость	developer	https://www.cian.ru/sale/flat/304065659/	Москва	sale	flat	4	17	2	49.8	53567000	Хамовники			Воробьёвы горы	Коллекция Лужники ЖК
27	Whitewill	real_estate_agent	https://www.cian.ru/sale/flat/303753500/	Москва	sale	flat	3	5	2	69.3	52000000	Хорошевский	Ленинградский проспект	37/5	Аэропорт	Прайм Парк
28	ANT Development	developer	https://www.cian.ru/sale/flat/303519450/	Москва	sale	flat	22	34	2	50.6	59236384	Дорогомилово	Поклонная 	9	Поклонная	Поклонная 9
29	Century 21 Street Realty	real_estate_agent	https://www.cian.ru/sale/flat/295800676/	Москва	sale	flat	4	17	2	44.5	39500000	Пресненский	Звенигородское шоссе	11	Улица 1905 года	Дизайнерский дом Eleven
30	Tekta Group	developer	https://www.cian.ru/sale/flat/301260478/	Москва	sale	flat	5	27	2	40.5	24036750	Даниловский			Павелецкая	Era
31	UINVEST	real_estate_agent	https://www.cian.ru/sale/flat/295055371/	Москва	sale	flat	6	16	1	38.7	9490000			к2.4	Румянцево	Тропарево Парк
32	COLDY	developer	https://www.cian.ru/sale/flat/303330158/	Москва	sale	flat	2	15	2	70.8	54813512	Даниловский	 Серпуховский Вал	7	Тульская	Дом 7 Даниловский
33	Whitewill	real_estate_agent	https://www.cian.ru/sale/flat/301565559/	Москва	sale	flat	5	21	2	117.0	120000000	Пресненский	 Костикова	4к1	Улица 1905 года	Lucky
34	Hutton Development	developer	https://www.cian.ru/sale/flat/303616433/	Москва	sale	flat	5	6	2	75.6	181440000	Якиманка	Софийская набережная	34С3	Новокузнецкая	Клубный дом DUO
35	SHOW ME	real_estate_agent	https://www.cian.ru/sale/flat/272186797/	Москва	sale	flat	11	24	2	46.5	21900000	Головинский	Головинское шоссе	11	Водный стадион	Талисман на Водном
36	Рублево-Архангельское	developer	https://www.cian.ru/sale/flat/301919896/	Москва	sale	flat	2	7	2	72.1	26958190			В17 кв-л	Опалиха	Сберсити ЖК
37	SHOW ME	real_estate_agent	https://www.cian.ru/sale/flat/272003903/	Москва	sale	flat	5	6	2	43.0	27500000	Беговой	 3-я Ямского Поля	9	Белорусская	Art Residence
38	Киноцентр	developer	https://www.cian.ru/sale/flat/302253810/	Москва	sale	flat	7	20	2	54.85	54795150	Пресненский	Дружинниковская 	15	Краснопресненская	SkyView
39	Бюро Эстейт Городская недвижимость	real_estate_agent	https://www.cian.ru/sale/flat/301212653/	Москва	sale	flat	2	24	2	57.4	26000000	Хорошево-Мневники	Шелепихинская набережная	40к2	Шелепиха	Sydney City
40	СИТИ21	developer	https://www.cian.ru/sale/flat/292035501/	Москва	sale	flat	14	15	2	75.8	41390372	Останкинский	проспект Мира	95	Алексеевская	Hill8
41	Villagio Realty	real_estate_agent	https://www.cian.ru/sale/flat/303902201/	Москва	sale	flat	17	24	2	45.0	37000000	Хорошевский	Хорошевское шоссе	25Ак2	Полежаевская	Династия
42	MR Group	developer	https://www.cian.ru/sale/flat/300287958/	Москва	sale	flat	33	43	2	58.83	27333836	Савеловский	2-я Хуторская 	34	Дмитровская	SYMPHONY 34
43	BARNES International Realty	real_estate_agent	https://www.cian.ru/sale/flat/300942839/	Москва	sale	flat	2	7	2	82.6	38000000	Беговой	Ленинградский проспект	15С28	Белорусская	Bolshevik
44	Мангазея	developer	https://www.cian.ru/sale/flat/301581592/	Москва	sale	flat	9	21	2	74.2	36238909	Щукино	Щукинская 		Щукинская	Интонация
45	White and Broughton	real_estate_agent	https://www.cian.ru/sale/flat/299860953/	Москва	sale	flat	9	41	1	40.5	27000000	Хорошевский	Ленинградский проспект	37/3	Аэропорт	Прайм Парк
46	Tekta Group	developer	https://www.cian.ru/sale/flat/303224329/	Москва	sale	flat	7	34	2	41.4	21296160	Обручевский			Воронцовская	Эвер ЖК
47	White and Broughton	real_estate_agent	https://www.cian.ru/sale/flat/299890518/	Москва	sale	flat	9	40	1	41.5	32000000	Хорошевский	Ленинградский проспект	37/4	ЦСКА	Прайм Парк
48	Tekta Group	developer	https://www.cian.ru/sale/flat/301259751/	Москва	sale	flat	23	42	2	41.6	25837760	Котловка	Севастопольский проспект	22А	Нагорная	Eniteo
49	White and Broughton	real_estate_agent	https://www.cian.ru/sale/flat/301550653/	Москва	sale	flat	13	41	1	41.5	31000000	Хорошевский	Ленинградский проспект	37/6	Аэропорт	Прайм Парк
50	Рублево-Архангельское	developer	https://www.cian.ru/sale/flat/293721204/	Москва	sale	flat	3	13	2	82.36	44400276			В20 кв-л	Павшино	Сберсити ЖК
51	White and Broughton	real_estate_agent	https://www.cian.ru/sale/flat/292933473/	Москва	sale	flat	16	40	1	41.1	31500000	Хорошевский	Ленинградский проспект	37/4	ЦСКА	Прайм Парк
52	Рублево-Архангельское	developer	https://www.cian.ru/sale/flat/298516183/	Москва	sale	flat	2	12	2	85.94	38612842			В19 кв-л	Павшино	Сберсити ЖК
53	White and Broughton	real_estate_agent	https://www.cian.ru/sale/flat/301763282/	Москва	sale	flat	39	41	2	56.9	40000000	Хорошевский	Ленинградский проспект	37/6	Аэропорт	Прайм Парк
54	Пионер	developer	https://www.cian.ru/sale/flat/301459955/	Москва	sale	flat	4	11	2	85.3	70625414	Даниловский			Павелецкая	Опус ЖК
55	NF Group - ex-Knight Frank	real_estate_agent	https://www.cian.ru/sale/flat/303582856/	Москва	sale	flat	4	21	2	56.2	60000000	Пресненский	2-я Звенигородская 	16	Улица 1905 года	Lucky
56	Рублево-Архангельское	developer	https://www.cian.ru/sale/flat/299934989/	Москва	sale	flat	4	13	2	81.26	34421736			В21 кв-л	Опалиха	Сберсити ЖК
57	NF Group - ex-Knight Frank	real_estate_agent	https://www.cian.ru/sale/flat/298050415/	Москва	sale	flat	11	13	2	83.0	99000000	Хамовники	 Усачева	15А	Спортивная	Садовые кварталы
